Filename,DM,Redshift_z,Distance_Mpc,Velocity_kms,Lookback_Gyr,Dark_Matter_g_cm2,Num_Needles,Anomaly_Score
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,495.00,0.5500,2155.61,123573.5,5.671,1.32e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,500.00,0.5500,2155.61,123573.5,5.671,1.34e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,505.00,0.5600,2188.05,125169.6,5.739,1.35e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,510.00,0.5600,2188.05,125169.6,5.739,1.37e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,515.00,0.5700,2220.28,126747.1,5.806,1.39e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,520.00,0.5800,2252.32,128306.1,5.872,1.40e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,525.00,0.5800,2252.32,128306.1,5.872,1.42e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,530.00,0.5900,2284.16,129846.9,5.938,1.43e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,535.00,0.6000,2315.81,131369.7,6.002,1.45e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,540.00,0.6000,2315.81,131369.7,6.002,1.47e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,545.00,0.6100,2347.27,132874.8,6.066,1.48e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,550.00,0.6100,2347.27,132874.8,6.066,1.50e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,555.00,0.6200,2378.53,134362.3,6.129,1.51e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,560.00,0.6300,2409.60,135832.6,6.191,1.53e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,565.00,0.6300,2409.60,135832.6,6.191,1.55e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,570.00,0.6400,2440.48,137285.7,6.252,1.56e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,575.00,0.6500,2471.18,138722.0,6.313,1.58e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,580.00,0.6500,2471.18,138722.0,6.313,1.59e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,585.00,0.6600,2501.68,140141.6,6.373,1.61e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,590.00,0.6600,2501.68,140141.6,6.373,1.63e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,595.00,0.6700,2532.00,141544.7,6.432,1.64e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,600.00,0.6800,2562.14,142931.6,6.491,1.66e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,605.00,0.6800,2562.14,142931.6,6.491,1.67e-02 г/см²,10,99.784
exposure_20181118_20181119_transit_L_beam_FWHM-600_res_4s_0.86_arcmin.npz,610.00,0.6900,2592.09,144302.5,6.549,1.69e-02 г/см²,10,99.784
